ID,Terms,Start,End,First Name,Last Name
B000226,sen,04/03/1789,03/03/1793,Richard,Bassett
B000546,rep,04/03/1789,03/03/1791,Theodorick,Bland
B001086,rep,04/03/1789,03/03/1791,Aedanus,Burke
C000187,rep,04/03/1789,03/03/1791,Daniel,Carroll
C000538,rep,04/03/1789,03/03/1791,George,Clymer
C000710,rep,04/03/1789,03/03/1791,Benjamin,Contee
D000013,sen,04/03/1789,03/03/1791,Tristram,Dalton
E000155,sen,04/03/1789,03/03/1791,Jonathan,Elmer
F000100,sen,04/03/1789,03/03/1793,William,Few
F000224,rep,04/03/1789,03/03/1791,William,Floyd
G000012,rep,04/03/1789,03/03/1791,George,Gale
G000403,sen,04/03/1789,03/03/1791,William,Grayson
G000500,rep,04/03/1789,03/03/1791,Jonathan,Grout
H000368,sen,04/03/1789,03/03/1795,Benjamin,Hawkins
H000995,rep,04/03/1789,03/03/1791,Benjamin,Huntington
I000053,sen,04/03/1789,03/03/1795,Ralph,Izard
J000182,sen,04/03/1789,31/12/1791,William,Johnson
J000198,sen,04/03/1789,03/03/1793,Samuel,Johnston
L000201,sen,04/03/1789,03/03/1793,Richard,Lee
M000031,sen,04/03/1789,03/03/1791,William,Maclay
M000234,rep,04/03/1789,03/03/1791,George,Mathews
M000985,sen,04/03/1789,03/03/1795,Robert,Morris
P000092,rep,04/03/1789,03/03/1791,George,Partridge
P000102,sen,04/03/1789,03/03/1791,William,Paterson
S000624,rep,04/03/1789,03/03/1791,William,Smith
S000961,rep,04/03/1789,03/03/1791,Michael,Stone
V000053,rep,04/03/1789,03/03/1791,Jeremiah,Van Rensselaer
W000783,rep,04/03/1789,03/03/1791,Henry,Wynkoop
D000324,sen,01/01/1790,03/03/1793,Philemon,Dickinson
W000059,sen,01/01/1790,03/03/1791,John,Walker
A000307,rep,04/03/1789,03/03/1791,John,Ashe
A000307,rep,24/10/1791,03/03/1793,John,Ashe
B000167,rep,24/10/1791,03/03/1793,Robert,Barnwell
B001133,sen,24/10/1791,03/03/1797,Aaron,Burr
C000009,sen,24/10/1791,03/03/1797,George,Cabot
C000185,sen,04/03/1789,03/03/1791,Charles,Carroll
C000185,sen,24/10/1791,03/03/1793,Charles,Carroll
E000147,sen,04/03/1789,03/03/1791,Oliver,Ellsworth
E000147,sen,24/10/1791,03/03/1797,Oliver,Ellsworth
G000139,rep,04/03/1789,03/03/1791,Elbridge,Gerry
G000139,rep,24/10/1791,03/03/1793,Elbridge,Gerry
H000916,rep,04/03/1789,03/03/1791,Daniel,Huger
H000916,rep,24/10/1791,03/03/1793,Daniel,Huger
J000036,rep,24/10/1791,03/03/1793,Israel,Jacobs
K000158,rep,24/10/1791,03/03/1793,Philip,Key
R000091,sen,04/03/1789,03/03/1791,George,Read
R000091,sen,24/10/1791,31/12/1793,George,Read
R000350,sen,24/10/1791,15/10/1796,Moses,Robinson
S000140,rep,24/10/1791,03/03/1793,Cornelius,Schoonmaker
S000242,rep,04/03/1789,03/03/1791,Joshua,Seney
S000242,rep,24/10/1791,03/03/1793,Joshua,Seney
S000340,rep,24/10/1791,03/03/1793,Upton,Sheredine
S000349,rep,04/03/1789,03/03/1791,Roger,Sherman
S000349,sen,24/10/1791,31/12/1793,Roger,Sherman
S000412,rep,04/03/1789,03/03/1791,Peter,Silvester
S000412,rep,24/10/1791,03/03/1793,Peter,Silvester
